Kategorie	Mapping nach	Mapping von 1	Mapping von 2	Mapping von 3	usw. ...																							
Sektor	Devices & Apparatus	Devices & Apparatus																										
Sektor	Energie und Wasser	Energy & Water																										
Sektor	Versicherungen	Insurance																										
Sektor	Machinery & Plants	Machinery & Plants																										
Sektor	Measuring	Measuring																										
Sektor	Medical & Laboratory Devices	Medical & Laboratory Devices																										
Sektor	Others	Others																										
Sektor	Pharma & Biotech	Pharma & Biotech																										
Sektor	Public Sector	Public Sector																										
Sektor	Steering & Control	Steering & Control																										
Sektor	SW Products & Services	SW Products & Services																										
Sektor	Telecommunications	Telecommunications																										
Sektor	Trade & Wholesale Trade	Trade & Wholesale Trade																										
Sektor	Transportation & Logistics	Transportation & Logistics																										
Services	Bespoke Solutions	Bespoke Solutions																										
Services	Building Prototypes	Building Prototypes																										
Services	Business Modelling	Business Modelling																										
Services	Business Opportunities	Business Opportunities																										
Services	Business Process Management	Business Process Management																										
Services	Change Management	Change Management																										
Services	Consulting	Consulting	Technology Consulting	Technology Consultation																								
Services	Design Methods	Design Methods																										
Services	Development	Development	Development support	Software Development Process	Product development	Product Development Process	Organisation development																					
Services	Energy Efficiency & EcoDesign	Energy Efficiency & EcoDesign																										
Services	Innovation technology	Innovation technology																										
Services	Integration	Integration	Integration Solutions																									
Services	IT Strategy & Enterprise Architecture	IT Strategy & Enterprise Architecture																										
Services	Methodology	Methodology																										
Services	Platform & Module strategies	Platform & Module strategies																										
Services	Product innovation	Product innovation																										
Services	Production cost reduction	Production cost reduction																										
Services	Project management	Project management																										
Services	Quality assurance	Quality assurance																										
Services	Requirements Engineering	Requirements Engineering																										
Services	Security	Security																										
Services	Service-oriented Architectures	Service-oriented Architectures																										
Services	Simulation & Calculation	Simulation & Calculation																										
Services	Software solutions	Software solutions																										
Services	Team Training	Team Training																										
Services	Technology Expertise	Technology Expertise																										
Services	Testing	Testing	Software-Testing	Test Engineering																								
Services	Usability	Usability																										
Services	ZAAF	ZAAF																										
Services	ZAFIR	ZAFIR																										
Technologie	.NET	.NET	.NET Coaching	.NET Framework	NET	B2B mit .NET	Visual Studio .NET	vb.net	MS .NET Framework	VB.NET																		
Technologie	ABC Analyse	ABC Analyse	ABC-Analyse																									
Technologie	ActiveState Perl	ActiveState Perl																										
Technologie	ActiveX	ActiveX																										
Technologie	ADO.NET	ADO.NET	ADO																									
Technologie	Adobe Flex	Adobe Flex																										
Technologie	Agile Methods	Agile Methods																										
Technologie	Agilo	Agilo																										
Technologie	Ajax	Ajax	AJAX																									
