No.;PN Title;Content;Sector;Customer;Focus;Services;Technology;Application;Tools;Published;Presentation;Author;Name;Project;Modified By;Modified;Item Type;Path
605;Von der Idee zum Projekt - schneller mit Methode;Die Swisscom mîchte die Idee fÅr ein neues Angebot konkreter fassen. ZÅhlke unterstÅtzt den Kunden dabei, mithilfe der Speed-Creation-Methode in kurzer Zeit Business-Anforderungen zu bestimmen und ein Projektteam aufzustellen.;Telecommunications;Swisscom;Management Consulting;"Consulting;#_ Management Consulting;#__ Business Process Management";;;;03.03.2011;;krs;pn_605_d_projektidee-speed_zrh.pdf;;Martin, Elisabeth;13.05.2011 08:29;Item;services/bd/pn/Project Notes published
604;Mehr Effizienz durch Turbolader einfach visualisert;ABB Turbo Systems AG optimiert mit einer Simulationssoftware die Aufladung von Diesel- und Gasmotoren. ZÅhlke realisiert eine graphische BenutzeroberflÑche, die die KomplexitÑt der Konfiguration reduziert und dadurch die Kosten senkt.;Machinery & Plants;ABB;Software Solutions;"Development;#__ Bespoke Solutions;#__ Development support";NET;Migration;"C#;#WPF;#XML";23.03.2011;;"sbr; gbu";pn_604_d_gui_turbolader_zrh.pdf;C12684;Martin, Elisabeth;11.07.2011 08:45;Item;services/bd/pn/Project Notes published
603;Fit fÅr besseres Hîren mit neuer Software-Plattform;Phonak lanciert eine neue Generation von HîrgerÑten und entwickelt mittels benutzerzentriertem Vorgehen eine komplett neue Anpass-Software. ZÅhlke unterstÅtzt die Entwicklung vom ersten Prototypen bis zum fertigen Produkt.;Medical & Laboratory Devices;Phonak;Software Solutions;"Development;#__ Development support";Agile Methods;Information Systems;"C#;#MS .NET Framework;#MS Excel;#Windows;#WPF;#Subversion; Expression Blend; Benutzerorientiertes Design";09.12.2010;;olb, moc;pn_603_d_software-hoerloesungen_zrh.pdf;C12131;Martin, Elisabeth;09.12.2010 09:59;Item;services/bd/pn/Project Notes published
602;Basler Privatbank profitiert von individueller Softwarelîsung;ZÅhlke realisiert gemeinsam mit einer Privatbank ein zentrales Bankensystem auf einer modernen Java-Plattform. Das kundenspezifisch entwickelte System ist ideal auf die BedÅrfnisse der Privatbank zugeschnitten.;Banking & Financial Services;Dreyfus;Software Solutions;"Consulting;#_ Methodology;#__ Requirements Engineering;#__ Design Methods;#Development;#__ Development support";"Agile Methods;#Java EE";Information Systems;"CruiseControl;#Eclipse;#Hibernate;#Java Enterprise Edition;#Java Standard Edition;#JDBC;#Java Swing; DB2";27.10.2010;;"gro; dir";pn_602_d_bankensoftware-individuell_zrh.pdf;;Martin, Elisabeth;08.07.2011 10:57;Item;services/bd/pn/Project Notes published
601;Gut informierte Kunden fahren lieber Bahn;Bahnreisende bei der RhÑtischen Bahn sind dank eines zentralen Systems stets Åber den aktuellen Fahrplan informiert. ZÅhlke entwickelt dieses System, das komplexe Daten einfach und schnell fÅr verschiedene Zwecke bereitstellt.;Transportation & Logistics;RhB;Software Solutions;"Development;#_ Software solutions;#__ Bespoke Solutions";"Java EE;#Web Services;#Java SE";Information Systems;"Eclipse;#Hibernate;#HTML;#Java Standard Edition;#JSF;#Oracle;#SOAP;#JAXB; JAX-WS; Ivy";15.10.2010;;sds;pn_601_d_bahnreise-infosystem_zrh.pdf;C12282;Martin, Elisabeth;27.10.2010 08:36;Item;services/bd/pn/Project Notes published
600;Scrum ebnet den Weg zur neuen Maschine;Ein Schweizer Maschinenbauer entwickelt ein neues Produkt. ZÅhlke arbeitet mit in der Entwicklung von der Studie bis zur MarkteinfÅhrung. So gelingt es, eine organisch gewachsene Software durch eine einfach erweiterbare zu ersetzen.;Machinery & Plants;Kern;Software Solutions;"Consulting;#_ Technology Consulting;#__ Technology Consultation;#__ Technology Expertise;#_ Methodology;#__ Software Development Process;#Development;#__ Development support;#__ Project management";Real-Time and Embedded Software;"Embedded Systems;#Machine Control Systems";"C++;#Rhapsody;#Scrum";02.12.2010;;"psc; hin";pn_600_d_schneidemaschine_scrum_zrh.pdf;C12751;Martin, Elisabeth;25.01.2011 08:14;Item;services/bd/pn/Project Notes published
597;Mit optimierten Testprozessen zu besserer Software;Effizienz in der Applikationsentwicklung sowie DurchgÑngigkeit zwischen den Projekten sind wichtige Ziele eines Softareherstellers. Ein Testprozess-Assessment zeigt, wie die Testorganisation zu diesen Zielen beitragen kann. ;SW Products & Services;Abraxas;"Software Solutions;#Management Consulting";"Consulting;#_ Management Consulting;#__ Change Management;#_ Methodology;#__ Software-Testing;#__ Testing";;;;30.03.2011;;"wkl;rma";pn_597_d_testing_optimieren_zrh.pdf;;Martin, Elisabeth;30.03.2011 08:46;Item;services/bd/pn/Project Notes published
592;Testmanagement fÅr Systeme im îffentlichen Verkehr;Der ZÅrcher Verkehrsverbund beschafft ein neues Vertriebssystem und neue VerkaufsgerÑte. ZÅhlke erhÑlt den Auftrag, den Abnahmetest der Lieferung sicherzustellen und zu koordinieren.;Transportation & Logistics;ZVV & VBZ;"Software Solutions;#Product Innovation";"Consulting;#_ Methodology;#__ Software-Testing;#__ Testing;#__ Quality assurance";;;;02.12.2010;;mo;pn_592_d_testmanagement_oev_zrh.pdf;P3755, C10452;Martin, Elisabeth;02.12.2010 12:27;Item;services/bd/pn/Project Notes published
584;Post-Merger-Integration der IT;Ein fÅhrendes Unternehmen fÅr Sprachdienstleistungen realisiert eine grî·ere FirmenÅbernahme. ZÅhlke untersucht, welche IT-Lîsung kÅnftige Anforderungen der Gesamtfirma am besten abdeckt und begleitet das Projekt. ;Others;neutral;Management Consulting;"Consulting;#__ IT Strategy & Enterprise Architecture";;Information Management;;09.04.2010;;wam;pn_584_d_it-merger_zrh.pdf;;Martin, Elisabeth;25.01.2011 14:51;Item;services/bd/pn/Project Notes published
583;70% tiefere Kosten fÅr IT-Infrastruktur-Betrieb;ZÅhlke fÅhrt bei einem Dienstleistungsunternehmen ein IT-Audit durch. Dies ist die Basis fÅr die neue IT-Strategie. Das Optimierungskonzept zeigt, dass die IT mit einem Drittel der bisherigen Kosten ihre Aufgaben erfÅllen kann.  ;Banking & Financial Services;neutral;Management Consulting;"Consulting;#_ Management Consulting;#__ Organisation development;#__ IT Strategy & Enterprise Architecture;#_ Technology Consulting;#_ Methodology;#__ Project management;#Integration;#_ Change Management";;"Information Systems;#Innovation Management;#Information Management";;17.03.2010;;hpm;pn_583_d_it-infrastruktur-optimierung_zrh.pdf;;Martin, Elisabeth;17.06.2010 13:51;Item;services/bd/pn/Project Notes published
